year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2015,10,18,0,7,7,0,0,17.02,37,15.81,0.00,0.00
2015,10,18,0,7,13,0,0,17.02,37,15.81,0.00,0.00
2015,10,18,0,7,19,0,0,17.03,37,15.88,0.00,0.00
2015,10,18,0,7,25,0,0,17.03,37,15.94,0.00,0.00
2015,10,18,0,7,31,0,0,17.04,37,15.94,0.00,0.00
2015,10,18,0,7,37,0,0,17.03,37,15.94,0.00,0.00
2015,10,18,0,7,43,0,0,17.04,37,15.94,0.00,0.00
2015,10,18,0,7,49,0,0,17.05,37,15.94,0.00,0.00
2015,10,18,0,7,55,0,0,17.05,37,15.94,0.00,0.00
2015,10,18,0,8,1,0,0,16.96,37,15.94,0.00,0.00
2015,10,18,0,8,7,0,0,16.93,37,15.94,0.00,0.00
2015,10,18,0,8,13,0,0,16.93,37,15.94,0.00,0.00
2015,10,18,0,8,19,0,0,16.92,37,15.94,0.00,0.00
2015,10,18,0,8,25,0,0,16.91,37,15.94,0.00,0.00
2015,10,18,0,8,31,0,0,16.92,37,15.94,0.00,0.00
2015,10,18,0,8,37,0,0,16.91,37,15.94,0.00,0.00
2015,10,18,0,8,43,0,0,16.89,37,15.94,0.00,0.00
2015,10,18,0,8,49,0,0,16.89,37,15.94,0.00,0.00
2015,10,18,0,8,55,0,0,16.89,37,16.00,0.00,0.00
2015,10,18,0,9,1,0,0,16.90,37,15.94,0.00,0.00
2015,10,18,0,9,7,0,0,16.90,37,15.94,0.00,0.00
2015,10,18,0,9,13,0,0,16.86,37,15.88,0.00,0.00
2015,10,18,0,9,19,0,0,16.82,37,15.75,0.00,0.00
2015,10,18,0,9,25,0,0,16.82,37,15.69,0.00,0.00
2015,10,18,0,9,31,0,0,16.81,37,15.69,0.00,0.00
2015,10,18,0,9,37,0,0,16.78,37,15.69,0.00,0.00
2015,10,18,0,9,43,0,0,16.72,37,15.69,0.00,0.00
2015,10,18,0,9,49,0,0,16.74,37,15.69,0.00,0.00
2015,10,18,0,9,55,0,0,16.72,37,15.63,0.00,0.00
2015,10,18,0,10,1,0,0,16.69,37,15.63,0.00,0.00
2015,10,18,0,10,7,0,0,16.64,37,15.56,0.00,0.00
2015,10,18,0,10,13,0,0,16.65,37,15.44,0.00,0.00
2015,10,18,0,10,19,0,0,16.65,37,15.44,0.00,0.00
2015,10,18,0,10,25,0,0,16.62,37,15.44,0.00,0.00
2015,10,18,0,10,31,0,0,16.62,37,15.44,0.00,0.00
2015,10,18,0,10,37,0,0,16.62,37,15.31,0.00,0.00
2015,10,18,0,10,43,0,0,16.60,37,15.25,0.00,0.00
2015,10,18,0,10,49,0,0,16.60,37,15.25,0.00,0.00
2015,10,18,0,10,55,0,0,16.59,37,15.25,0.00,0.00
2015,10,18,0,11,1,0,0,16.58,38,15.19,0.00,0.00
2015,10,18,0,11,7,0,0,16.58,38,15.19,0.00,0.00
2026,3,26,13,11,36,0,0,16.58,38,15.19,0.00,0.00
2026,3,26,13,11,42,0,0,16.57,38,15.19,0.00,0.00
2026,3,26,13,11,48,0,0,16.49,38,15.19,0.00,0.00
2026,3,26,13,11,54,0,0,16.52,38,15.19,0.00,0.00
2026,3,26,13,12,0,0,0,16.52,38,15.13,0.00,0.00
2026,3,26,13,12,6,0,0,16.52,38,15.13,0.00,0.00
2026,3,26,13,12,12,0,0,16.52,38,15.13,0.00,0.00
2026,3,26,13,12,18,0,0,16.51,38,15.13,0.00,0.00
2026,3,26,13,12,24,0,0,16.50,38,15.13,0.00,0.00
2026,3,26,13,12,30,0,0,16.51,38,15.06,0.00,0.00
2026,3,26,13,12,36,0,0,16.51,38,15.06,0.00,0.00
2026,3,26,13,12,42,0,0,16.50,38,15.06,0.00,0.00
2026,3,26,13,12,48,0,0,16.50,38,15.06,0.00,0.00
2026,3,26,13,12,54,0,0,16.50,38,15.06,0.00,0.00
2026,3,26,13,13,0,0,0,16.49,38,15.06,0.00,0.00
2026,3,26,13,13,6,0,0,16.47,38,15.06,0.00,0.00
2026,3,26,13,13,12,0,0,16.47,38,15.00,0.00,0.00
2026,3,26,13,13,18,0,0,16.44,38,15.00,0.00,0.00
2026,3,26,13,13,24,0,0,16.44,38,15.00,0.00,0.00
2026,3,26,13,13,30,0,0,16.45,38,15.00,0.00,0.00
2026,3,26,13,13,36,0,0,16.45,38,15.00,0.00,0.00
